,text,Positive,Negative,Neutral,Compound,Status
0,RT  Change the narrative around women living with bleeding disorders by supporting the Susan Skinner Memorial Fund scholarshiƒ?Ý,14.6,0.0,85.39999999999999,44.04,neg
1," Distributed teams is the way forward.  Access to global talent pool, better work life balance, reduction in carbon footprint, upliftment of tier 2 and tier 3 cities, overall society development with educated ppl not running towards urban cities and getting the liberty to wfh.",18.9,0.0,81.10000000000001,84.42,neg
2,"RT  The pandemic has redefined how we work. To adapt,  (head of labs for  launched a prograƒ?Ý",9.1,0.0,90.9,12.8,neg
3, As if Australia tours every nation.. Only country doing WFH or cries,0.0,19.7,80.30000000000001,-40.19,pos
4,"Haha. Yes, in this WFH world--stand up meetings have converted into sit down meetings. ",32.2,0.0,67.80000000000001,69.08,neg
5,"RT  Ucon welcomes Mr. Monther Sendi as a Speaker for  Saudi Arabia.
   ",21.3,0.0,78.7,40.19,neg
6,"I dont want to learn Kannada, I really do I was learning a bit when we used to go to office but these days when we are mostly at home beause of wfh it has become tough to do that as I hardly have exposure to the language.",0.0,6.5,93.5,-21.7,pos
7,"*URGENT REQUIRMENT* (Immediate joiners preferred)

We are hiring for
* &amp; 

Experience required: 3 to 5 years

Location: Until COVID WFH
Open Position: 8

Share ur CV to
Kala.c ",8.4,0.0,91.60000000000001,29.599999999999998,neg
8,   Still no power restored. WAKE UP Dhankawadi MSEB it's more than 4.5 Hours no power.  please take strict action against Dhankawadi MSEB incharge for providing poor service to customers   ,13.0,20.7,66.3,-42.15,pos
9," Nothing can be done on this topic. Sons take better pics . Now with WFH coming to an end , we are again stuck with the whims and moods of husband Ð???Ð???",11.4,5.8999999999999995,82.69999999999999,43.29,neg
10,"RT  Friends, job opportunities for various locations
iOS,Angular,Magenta - Mumbai  (permanent work from home available)
Vue JS,ƒ?Ý",28.9,0.0,71.1,69.08,neg
11,"Super Excited to launch WOOTHS - On-Demand Private Work Booths

Have an important call when in the market?
Tired of Working From Home?
Need a private workspace nearby your location?

Step out &amp; use WOOTHS in 3 easy steps: SCAN - BOOK - USE

   ",23.799999999999997,6.0,70.19999999999999,82.43,neg
12," never knew there would b any connection between vit D and oral health.
supposedly its wfh ( no sunlight )",0.0,12.8,87.2,-29.599999999999998,pos
13,"RT  ""If you love your workspace, youƒ??ll love your work a little more.""
Workspace credits-  

",50.0,0.0,50.0,90.0,neg
14,   Again power outage since last 3 hours. Trying to reach to dhankawadi mseb incharge and operators but no response. Very pathetic service from dhankawadi mseb office.    ,3.4000000000000004,26.5,70.19999999999999,-84.96000000000001,pos
15,"  Experience of Airtel is really 3rd class, after taking connection I am not able to use wifi for 6 hours and in this WFH situation I am scared that I will loose my job if I use Airtel connection, service is pathetic and airtel person only make fool",0.0,23.200000000000003,76.8,-89.57000000000001,pos
16,"RT  Ucon welcomes Mr. Monther Sendi as a Speaker for  Saudi Arabia.
   ",21.3,0.0,78.7,40.19,neg
17,  It's been down since two hours. Struggling to WFH,0.0,25.900000000000002,74.1,-42.15,pos
18,  It's back up now :). But constant outages are irritating while WFH.,0.0,21.4,78.60000000000001,-45.879999999999995,pos
19,"RT  Friends, job opportunities for various locations
iOS,Angular,Magenta - Mumbai  (permanent work from home available)
Vue JS,ƒ?Ý",28.9,0.0,71.1,69.08,neg
20," Not everyone is fortunate to have a WFH job, think about our less fortunate brothers and sisters who have lost their livelihood because of this pandemic , let's create an environmentally sustainable source of Income to uplift their families.Ð??",9.0,17.2,73.8,-55.32,pos
21,"RT  Friends, job opportunities for various locations
iOS,Angular,Magenta - Mumbai  (permanent work from home available)
Vue JS,ƒ?Ý",28.9,0.0,71.1,69.08,neg
22,"RT  Friends, job opportunities for various locations
iOS,Angular,Magenta - Mumbai  (permanent work from home available)
Vue JS,ƒ?Ý",28.9,0.0,71.1,69.08,neg
23," Bro, since I have been into 2 years of technical management, I feel IC role is much better and more suited if one wants to pursue passion of trading as technical manager is stuck most of times in solving tech and teams issue with n no. of calls esp. in WFH env. Ð???",15.5,7.3999999999999995,77.10000000000001,68.47999999999999,neg
24,"RT  Friends, job opportunities for various locations
iOS,Angular,Magenta - Mumbai  (permanent work from home available)
Vue JS,ƒ?Ý",28.9,0.0,71.1,69.08,neg
25,"RT  Friends, job opportunities for various locations
iOS,Angular,Magenta - Mumbai  (permanent work from home available)
Vue JS,ƒ?Ý",28.9,0.0,71.1,69.08,neg
26," User interface is top notch,
Efficient Packaging and delivery. 
Comparison across different products but didnƒ??t find the ƒ??try it onƒ?? option like  have on their website. 
On the flip side I didnƒ??t buy anything during covid due to wfh.",17.7,0.0,82.3,75.87,neg
27,"I overhear my husband on work calls talking about ""crack growth,"" and I wonder how engineers don't just giggle all day. 

  ",0.0,11.5,88.5,-32.519999999999996,pos
28,"Fine quality work or study lamp is ready to order. Delivery in  WhatsApp 9000539552

             ",26.400000000000002,0.0,73.6,51.06,neg
29,RT  Check out our  Offerwall for access to hundreds of different surveys - they're one of our most popular providers atƒ?Ý,14.000000000000002,0.0,86.0,47.54,neg
30,It's been a long day of troubling the working folks to spend time with me. They are just staring at a screen all day. I'm going to just nap instead.     ,0.0,11.5,88.5,-54.230000000000004,pos
31,"Reach all your gaming ""goals"" with NETGEAR!

.
.
.
                 ",18.8,0.0,81.2,10.07,neg
32,"Get work from home Job from Kutumbh. Join Kutumbh as a  translator and start earning today. For more info, kindly visit 

           ",24.0,0.0,76.0,68.87,neg
33,"RT  ""If you love your workspace, youƒ??ll love your work a little more.""
Workspace credits-  

",50.0,0.0,50.0,90.0,neg
34," Mera toh seriously yahi scene hai Ð??? WFH needs to open up before I blow upƒ?Ý

For a change I will be going to office tomorrow after good 18 months and guess what itƒ??s for Diwali Lunch with boss Ð???",9.5,4.2,86.3,48.71,neg
35,RT  Donƒ??t let the mandate of WFH stop you from monitoring employee productivity. Choose Digital HRMS today ,0.0,13.8,86.2,-37.36,pos
36,"RT  Is your WFH routine leaving you with no time to go house hunting? Watch this couple discover the new way to browse, and shorƒ?Ý",0.0,9.6,90.4,-37.36,pos
